zzmbg,1kr4r/pp1q2b1/2nP3p/3Q2p1/8/6B1/PPP2PPP/2KRR3 b - - 0 19,h8e8 e1e7 d7e7 d6e7,1928,77,85,124,advancedPawn crushing discoveredAttack middlegame short,https://lichess.org/5xsjfCPK/black#38,Russian_Game,Russian_Game_Cochrane_Gambit
zzmd3,8/2bq4/p1p3k1/2p1Q1p1/P1Pp1rNp/3P1P1P/6P1/5RK1 b - - 2 33,c7e5 g4e5 g6f6 e5d7,639,106,76,156,crushing endgame fork short,https://lichess.org/rDxorjf3/black#66,
zzmdq,2kr3r/1b1p1pQp/p2qp3/2p1n3/P3P3/2NB2P1/1PP2P1P/R4RK1 w - - 1 17,f2f4 d6d4 g1g2 e5d3,2048,75,89,1325,advantage middlegame short,https://lichess.org/fhZmyTzO#33,Sicilian_Defense,Sicilian_Defense_Kan_Variation
zzmlP,4rbk1/pp1q1p1n/2p2p2/5P1Q/3P4/2P2R2/PP1B2P1/7K b - - 2 26,d7e7 f3h3 f8g7 h5h7,1886,76,79,57,crushing master middlegame quietMove short,https://lichess.org/B353inBD/black#52,
zzmsA,8/1p4p1/p3p2p/4P3/3PK1k1/8/PP6/8 b - - 0 32,g4g5 d4d5 e6d5 e4d5,1236,189,100,12,crushing endgame pawnEndgame short,https://lichess.org/9Ugx0gRp/black#64,
zzn0a,3r2k1/pp3ppp/6r1/1P1p1R2/4p2Q/4q2P/1PP3P1/3R3K b - - 5 26,d8d6 f5d5 h7h6 d5d6,1833,76,93,1888,crushing endgame short,https://lichess.org/9YbGoits/black#52,
zzn2r,6k1/p1rr2p1/3np2q/3p1pRP/1p1P1N2/2P2PR1/PP2K3/6Q1 w - - 0 36,g5g6 h6f4 h5h6 d6e8,2081,74,89,622,advantage defensiveMove hangingPiece middlegame short,https://lichess.org/Aqr1i3En#71,
zzn41,5r2/1R4Rk/p4p1p/7q/6N1/PB5P/1r3PPK/8 b - - 0 34,h7h8 g7h7,1381,388,37,9,mate mateIn1 middlegame oneMove,https://lichess.org/hbZucpSh/black#68,
zzn4f,1r5k/p1p3p1/4Q3/4B2p/P3P3/3P1r1P/1P4BK/4q3 b - - 2 33,f3f2 e6h6 h8g8 h6g7,1384,74,93,4325,endgame mate mateIn2 pin short,https://lichess.org/6lmdCmA4/black#66,
zzn5R,r4rk1/5ppp/p2p4/1p1PbN2/6Q1/8/q1P3PP/2R2RK1 b - - 1 21,a2d5 f5e7 g8h8 e7d5,1306,76,75,1167,crushing fork middlegame short,https://lichess.org/Hwwq7JwO/black#42,
